X,Y,Z,Class
-2.1532692805177787,-1.9100921970147882,-2.0892004499226653,Negative
3.354634176163451,-1.8031991302651869,-2.8497887819604983,Negative
-2.7735278065557267,4.644997337348302,2.4123745240813763,Positive
2.8906077055746593,-1.1884941088777916,-1.7233884798999086,Negative
-3.4166826996326605,4.789794677243215,3.157648952543675,Positive
-2.8301345156910553,-2.0236622860584044,0.5050977944618547,Negative
3.2453290218754614,-2.432022938986189,-1.9587366936215864,Negative
-3.7173296158077673,3.5102806361570016,3.413532184163773,Positive
-4.574160513280554,3.0386129911676676,0.12809365983464027,Positive
-0.06503762574020389,1.9456233084666095,1.8073090250767123,Positive
-1.6702409898579362,2.160745673873259,3.990518327167969,Positive
0.862046760670526,2.1103410260573274,1.2728093672498941,Positive
1.710260051718679,1.928942276464296,4.966031409983912,Positive
2.114547757001773,-2.2987513044420225,0.14618684771737467,Negative
0.6548496153101304,4.857059265601121,0.5579147780144544,Positive
4.955774062620735,-3.4580754563719447,-1.068675956223383,Negative
1.0926954135863207,3.360555687186044,4.20438780083504,Positive
-3.589860511290286,-1.2021157581229636,-4.376877069002727,Negative
3.4449325758278633,-1.3022588282352348,-3.172847100935221,Negative
-0.6856176055008012,1.4190607385373903,3.167127738711491,Positive
-4.5585877004381725,-1.9129260345347658,-1.5615913027730843,Negative
-2.331219175450726,-1.7354922270768176,-3.869145819187969,Negative
3.1227240745808658,2.1261883300179036,0.9404998257598431,Positive
4.027699418897852,3.6880509414023304,2.884155570955703,Positive
-2.8510474807709416,4.255178074946066,0.09309608816535797,Positive
-4.283733402825645,3.5396144106367395,3.5054946417464112,Positive
-2.0847815286259497,-3.7925092339487603,-3.354084267417756,Negative
2.7797063707576672,-1.6208050186775016,-2.6844047058569953,Negative
4.297817415948323,-4.802439993231676,-3.5320763746210093,Negative
0.5053447761054404,3.801182872543248,4.854228318646918,Positive
0.35746948663373246,3.6355243688918075,-0.5862449065541122,Positive
-1.1300219067821047,1.1910663064868334,4.807438028318403,Positive
-0.6080062551407543,1.9993310531821238,-0.7571353205908669,Positive
3.310568911316551,2.0238903256152225,2.9018494899350085,Positive
-2.5546533622375565,2.463787145316286,-0.6633958404303137,Positive
-2.2605932919982976,-2.308467026221436,-3.360482303393832,Negative
0.23541694744988284,3.473087365445358,3.1160810954171483,Positive
1.9429631538516148,3.0046816725263295,2.044580494943773,Positive
-4.472443717302594,-2.422561811768791,-4.478640591130192,Negative
4.393400086951916,1.548345403313283,0.9514416498528921,Positive
-1.2493700707717101,1.2130432256613641,3.6460418462927597,Positive
2.9141417059455508,2.5388163172309346,2.0432359208671205,Positive
-3.4544321499781505,-1.9121444277305404,0.32160030542529405,Negative
2.419012422991665,-2.591080002594036,-1.6668182912207787,Negative
-1.2153718490586893,-2.337498369079695,0.4131814357168553,Negative
